Word,PoS,KM_Count,Value,Elo,RW,Best,Worst,Unchosen,BestWorst,ABW,David,ValueLogit,RWLogit,BestWorstLogit,N
chorus,Noun,-0.105,0.463194671,-109.4825909,0.466122185,11,20,55,-15.19767442,-0.21007147,21700,-0.147488093,-0.135719203,-15.19767442,86
troll,Noun,-0.186,0.464784179,-53.58892098,0.460391582,10,26,50,-27.40697674,-0.376477571,22800,-0.141096904,-0.158766331,-27.40697674,86
notch,Noun,-0.093,0.469936094,-84.05375989,0.473209625,15,23,48,-13.45348837,-0.186585956,-39700,-0.120400863,-0.107264226,-13.45348837,86
middleman,Noun,-0.023,0.477935503,-53.35715087,0.484340189,14,16,56,-2.988372093,-0.046520016,-77700,-0.088315346,-0.062659737,-2.988372093,86
incarceration,Noun,-0.093,0.491340791,39.76120344,0.497259932,7,15,64,-13.45348837,-0.186585956,35600,-0.0346403,-0.010960383,-13.45348837,86
cavalier,Noun,0.047,0.518356201,58.41096623,0.515463975,21,17,48,7.476744186,0.093090423,8400,0.073457819,0.061875633,7.476744186,86
splint,Noun,0.14,0.541788607,32.79105656,0.547429064,24,12,50,21.43023256,0.280902385,7400,0.167545268,0.190288376,21.43023256,86
mayday,Noun,0.151,0.545020065,42.09526776,0.547883185,21,8,57,23.1744186,0.304660409,-14100,0.180569292,0.192121511,23.1744186,86
freshman,Noun,0.163,0.554245096,64.35430695,0.549794591,23,9,54,24.91860465,0.328504067,23200,0.217837741,0.199840795,24.91860465,86
mountaintop,Noun,0.116,0.571951253,234.4785396,0.564063629,25,15,46,17.94186047,0.233614851,124000,0.289816683,0.257670769,17.94186047,86
vibrator,Noun,0.186,0.580556143,100.330997,0.580417426,22,6,58,28.40697674,0.376477571,61200,0.325056827,0.324487198,28.40697674,86
heroine,Noun,0.372,0.604471461,94.08160487,0.6093165,43,11,32,56.31395349,0.781700578,-15300,0.424131513,0.444440066,56.31395349,86
hourglass,Noun,0.267,0.626736797,301.6070977,0.617151589,30,7,49,40.61627907,0.548213156,120500,0.518242862,0.477475563,40.61627907,86
accordion,Noun,0.395,0.636531973,228.084186,0.630719591,42,8,36,59.80232558,0.836248024,52400,0.560343315,0.535305102,59.80232558,86
stairwell,Noun,0.442,0.645259189,165.0144133,0.644893463,40,2,44,66.77906977,0.949080555,57800,0.598264668,0.596667279,66.77906977,86
christmas,Noun,0.407,0.651019845,182.5238349,0.646415178,45,10,31,61.54651163,0.863964913,96200,0.623525068,0.603318584,61.54651163,86
accountant,Noun,0.477,0.657345571,228.1413492,0.663092669,44,3,39,72.01162791,1.037524597,61300,0.65148742,0.677106844,72.01162791,86
gladiator,Noun,0.488,0.662729181,309.7932699,0.659771113,45,3,38,73.75581395,1.06784063,73600,0.675480207,0.662274387,73.75581395,86
seaweed,Noun,0.512,0.67506383,301.0725863,0.670949493,47,3,36,77.24418605,1.129864832,55900,0.731178488,0.712482606,77.24418605,86
smallpox,Noun,0.593,0.683265034,281.2514131,0.689566374,58,7,21,89.45348837,1.364632864,17500,0.768817472,0.798092845,89.45348837,86
dumbbell,Noun,0.547,0.690640513,304.0246515,0.686769982,49,2,35,82.47674419,1.226787482,106200,0.803115459,0.785061617,82.47674419,86
pillow,Noun,0.651,0.725480231,354.8696663,0.720167296,58,2,26,98.1744186,1.554629676,99000,0.971810544,0.9452916,98.1744186,86
delusion,Noun,-0.459,0.350443286,-238.3880013,0.353364921,4,43,38,-68.32352941,-0.991640169,-34500,-0.617091269,-0.60428082,-68.32352941,85
goodwill,Noun,-0.447,0.367428463,-203.1215537,0.371185169,0,38,47,-66.55882353,-0.962036754,-18700,-0.543264675,-0.527135782,-66.55882353,85
protection,Noun,-0.353,0.384767559,-238.1520083,0.384731966,2,32,51,-52.44117647,-0.737598943,-29500,-0.469360739,-0.469511099,-52.44117647,85
relationship,Noun,-0.376,0.389942475,-230.8317588,0.390404113,13,45,27,-55.97058824,-0.791882021,-41100,-0.447554026,-0.445613866,-55.97058824,85
obscenity,Noun,-0.341,0.390034812,-217.5916565,0.390539056,5,34,46,-50.67647059,-0.710846758,-14800,-0.44716589,-0.44504689,-50.67647059,85
getaway,Noun,-0.306,0.403603251,-114.5856631,0.401706006,2,28,55,-45.38235294,-0.631992757,-12200,-0.390473789,-0.398361771,-45.38235294,85
midlife,Noun,-0.329,0.414911656,-81.84027084,0.412325395,5,33,47,-48.91176471,-0.684336551,-18700,-0.343697229,-0.354360571,-48.91176471,85
magic,Noun,-0.259,0.417127772,-207.334639,0.417263286,14,36,35,-38.32352941,-0.529694108,-37700,-0.334575415,-0.334018076,-38.32352941,85
mediation,Noun,-0.259,0.417926221,-102.4672103,0.426102124,4,26,55,-38.32352941,-0.529694108,-31000,-0.331292295,-0.29777242,-38.32352941,85
adventurer,Noun,-0.247,0.427448782,-147.0864132,0.4232889,6,27,52,-36.55882353,-0.504556011,-29100,-0.292267723,-0.309286523,-36.55882353,85
flirtation,Noun,-0.176,0.441625997,-152.2827289,0.43463123,8,23,54,-25.97058824,-0.356674944,-35300,-0.234565632,-0.262980282,-25.97058824,85
pestilence,Noun,-0.188,0.443397633,-30.64273349,0.44619811,11,27,47,-27.73529412,-0.381014012,-25100,-0.227384142,-0.216043977,-27.73529412,85
practitioner,Noun,-0.165,0.444627163,-132.7700553,0.443788746,12,26,47,-24.20588235,-0.332439973,-16300,-0.222403572,-0.225799523,-24.20588235,85
handler,Noun,-0.118,0.456777568,-97.77000554,0.457178251,17,27,41,-17.14705882,-0.236388778,-42600,-0.173322321,-0.171707634,-17.14705882,85
turbo,Noun,-0.118,0.460562814,-39.78966373,0.462685906,10,20,55,-17.14705882,-0.236388778,-47900,-0.158077096,-0.149534393,-17.14705882,85
snub,Noun,-0.094,0.470059122,-106.2127134,0.46672789,8,16,61,-13.61764706,-0.188794071,-37300,-0.119906972,-0.133285408,-13.61764706,85
errand,Noun,-0.047,0.478619062,-22.40880927,0.473473976,15,19,51,-6.558823529,-0.094187215,-24700,-0.085575939,-0.106203806,-6.558823529,85
ancestor,Noun,-0.094,0.47888771,-72.37359603,0.48084783,16,24,45,-13.61764706,-0.188794071,2600,-0.084499402,-0.07664618,-13.61764706,85
graph,Noun,-0.059,0.482704752,-61.78600495,0.477620551,20,25,40,-8.323529412,-0.117783036,-23100,-0.069208603,-0.089577647,-8.323529412,85
crackle,Noun,-0.047,0.485829188,6.257717906,0.485543089,20,24,41,-6.558823529,-0.094187215,-45400,-0.056698433,-0.057843766,-6.558823529,85
promenade,Noun,-0.118,0.485861605,-1.645242041,0.487906339,10,20,55,-17.14705882,-0.236388778,8200,-0.056568661,-0.04838408,-17.14705882,85
trillion,Noun,0.024,0.518533646,-56.82446875,0.516413099,19,17,49,4.029411765,0.047067511,7200,0.074168564,0.065675992,4.029411765,85
cartoon,Noun,0.071,0.527933613,-7.610065914,0.532230534,29,23,33,11.08823529,0.141411654,-16100,0.111850916,0.129101151,11.08823529,85
skid,Noun,0.106,0.531855313,63.04100611,0.521480562,19,10,56,16.38235294,0.212561442,-8300,0.127594076,0.085975168,16.38235294,85
night,Noun,0.035,0.534043698,102.8242577,0.542349543,22,19,44,5.794117647,0.070617567,66900,0.136385811,0.169805009,5.794117647,85
coolant,Noun,0.012,0.537582305,99.57602641,0.533824844,11,10,64,2.264705882,0.023530497,95500,0.15061329,0.135506344,2.264705882,85
pipeline,Noun,0.141,0.54056158,51.59173741,0.540445658,25,13,47,21.67647059,0.284251537,3800,0.162603646,0.162136892,21.67647059,85
cottage,Noun,0.329,0.610994222,188.4650071,0.608187419,38,10,37,49.91176471,0.684336551,-12700,0.451493308,0.439699475,49.91176471,85
couch,Noun,0.341,0.616201958,288.0402805,0.622659199,40,11,34,51.67647059,0.710846758,50400,0.473458282,0.500850577,51.67647059,85
gunslinger,Noun,0.306,0.616496175,182.8821166,0.611639608,32,6,47,46.38235294,0.631992757,83700,0.474702523,0.454209479,46.38235294,85
pan,Noun,0.4,0.62129333,143.9676122,0.618197641,43,9,33,60.5,0.84729786,0,0.495041374,0.481905122,60.5,85
mariner,Noun,0.435,0.63367546,163.880774,0.640290689,41,4,40,65.79411765,0.932820034,8000,0.54801727,0.576626038,65.79411765,85
revolver,Noun,0.447,0.647562851,279.373564,0.647678634,46,8,31,67.55882353,0.962036754,44100,0.60834355,0.608850905,67.55882353,85
barman,Noun,0.576,0.680706043,283.4329011,0.680245621,50,1,34,86.97058824,1.314320861,50700,0.757018386,0.754900805,86.97058824,85
kitten,Noun,0.565,0.707492478,437.9957177,0.706892605,53,5,27,85.20588235,1.279431216,92900,0.883236617,0.880339673,85.20588235,85
coffeepot,Noun,0.635,0.725720213,429.6585676,0.728456721,55,1,29,95.79411765,1.500486729,112300,0.973015855,0.986806682,95.79411765,85
sunflower,Noun,0.765,0.771266194,501.53349,0.766348871,65,0,20,115.2058824,2.014903021,98000,1.215474664,1.187808408,115.2058824,85
communication,Noun,-0.607,0.289700279,-470.7988293,0.296389242,2,53,29,-90.57142857,-1.408767217,-91700,-0.896840155,-0.864551704,-90.57142857,84
type,Noun,-0.583,0.295520236,-348.3551095,0.298364,3,52,29,-87,-1.335001067,-115600,-0.868722291,-0.855100534,-87,84
advantage,Noun,-0.607,0.305804881,-393.208132,0.306031201,1,52,31,-90.57142857,-1.408767217,-55200,-0.819805817,-0.81873994,-90.57142857,84
odds,Noun,-0.524,0.348714413,-280.1095988,0.347048561,3,47,34,-78.07142857,-1.16315081,-35100,-0.624694947,-0.632038044,-78.07142857,84
transference,Noun,-0.44,0.351984399,-241.2037312,0.357004169,4,41,39,-65.57142857,-0.945642944,-41300,-0.610327917,-0.588390781,-65.57142857,84
madness,Noun,-0.417,0.3629171,-249.0713425,0.367968697,5,40,39,-62,-0.887303195,-54300,-0.562725356,-0.54094105,-62,84
span,Noun,-0.393,0.365667149,-277.6175781,0.361485461,7,40,37,-58.42857143,-0.830348302,-47100,-0.550850328,-0.568922625,-58.42857143,84
growth,Noun,-0.393,0.375585292,-213.1665089,0.378089883,2,35,47,-58.42857143,-0.830348302,-60700,-0.508329155,-0.497663624,-58.42857143,84
notoriety,Noun,-0.405,0.378599179,-231.0694023,0.37286476,3,37,44,-60.21428571,-0.858661619,-16400,-0.495498248,-0.519946431,-60.21428571,84
elevation,Noun,-0.298,0.407532129,-113.6082035,0.407341295,4,29,51,-44.14285714,-0.613810438,10300,-0.374176873,-0.374967296,-44.14285714,84
vigilance,Noun,-0.274,0.419863912,-113.6062315,0.422430402,7,30,47,-40.57142857,-0.56195497,-10700,-0.323332072,-0.312804246,-40.57142857,84
spreader,Noun,-0.262,0.425386235,-102.1755111,0.429323744,1,23,60,-38.78571429,-0.536304709,-35300,-0.300700559,-0.28461079,-38.78571429,84
pushover,Noun,-0.226,0.430177631,-138.5929832,0.425973096,5,24,55,-33.42857143,-0.460341718,-68000,-0.281126458,-0.298300076,-33.42857143,84
organism,Noun,-0.262,0.434594099,-128.3048058,0.428508859,19,41,24,-38.78571429,-0.536304709,15000,-0.263131392,-0.287937569,-38.78571429,84
stunt,Noun,-0.119,0.443163228,-221.5309942,0.44488062,14,24,46,-17.35714286,-0.239229689,-73500,-0.228333985,-0.221377211,-17.35714286,84
stealth,Noun,-0.179,0.45104509,-92.84855351,0.453870495,10,25,49,-26.28571429,-0.361013346,-42200,-0.196448994,-0.185044231,-26.28571429,84
breeding,Noun,-0.143,0.454171607,-137.2846944,0.453529456,10,22,52,-20.92857143,-0.287682072,4100,-0.183829514,-0.186420187,-20.92857143,84
container,Noun,-0.202,0.457573627,-25.22409402,0.466824205,17,34,33,-29.85714286,-0.410427897,23300,-0.170114552,-0.132898438,-29.85714286,84
wreckage,Noun,-0.071,0.457919713,-132.3386269,0.461364218,10,16,58,-10.21428571,-0.143100844,-54300,-0.168720253,-0.15485182,-10.21428571,84
footage,Noun,-0.095,0.467149499,-76.86173803,0.464634473,10,18,56,-13.78571429,-0.191055237,-22900,-0.131591566,-0.141698725,-13.78571429,84
makeup,Noun,-0.119,0.471509891,13.20175065,0.47818,15,25,44,-17.35714286,-0.239229689,-900,-0.114084009,-0.087335469,-17.35714286,84
brokerage,Noun,-0.095,0.47774461,-12.67933355,0.479164314,11,19,54,-13.78571429,-0.191055237,5600,-0.08908042,-0.083391037,-13.78571429,84
